datasets/testfiles/bnd_series_1.test

600
UP changed 
SCIP Version: 8.02
[INSTANCE] bnd_s1_i01.mps.gz
[START] 2023-06-24T15:11:42
[DUALBOUND] 11116.125705550
[END] 2023-06-24T15:21:41

[INSTANCE] bnd_s1_i02.mps.gz
[START] 2023-06-24T15:21:41
[DUALBOUND] 13512.000000000
[END] 2023-06-24T15:24:56

[INSTANCE] bnd_s1_i03.mps.gz
[START] 2023-06-24T15:24:56
[DUALBOUND] 11567.000000000
[END] 2023-06-24T15:30:17

[INSTANCE] bnd_s1_i04.mps.gz
[START] 2023-06-24T15:30:17
[DUALBOUND] 11784.000000000
[END] 2023-06-24T15:38:59

[INSTANCE] bnd_s1_i05.mps.gz
[START] 2023-06-24T15:38:59
[DUALBOUND] 13363.000000000
[END] 2023-06-24T15:44:21

[INSTANCE] bnd_s1_i06.mps.gz
[START] 2023-06-24T15:44:21
[DUALBOUND] 12210.000000000
[END] 2023-06-24T15:46:08

[INSTANCE] bnd_s1_i07.mps.gz
[START] 2023-06-24T15:46:08
[DUALBOUND] 11738.000000000
[END] 2023-06-24T15:55:31

[INSTANCE] bnd_s1_i08.mps.gz
[START] 2023-06-24T15:55:31
[DUALBOUND] 11545.000000000
[END] 2023-06-24T15:59:31

[INSTANCE] bnd_s1_i09.mps.gz
[START] 2023-06-24T15:59:31
[DUALBOUND] 12015.000000000
[END] 2023-06-24T16:05:58

[INSTANCE] bnd_s1_i10.mps.gz
[START] 2023-06-24T16:05:58
[DUALBOUND] 13457.000000000
[END] 2023-06-24T16:14:09

[INSTANCE] bnd_s1_i11.mps.gz
[START] 2023-06-24T16:14:09
[DUALBOUND] 13280.000000000
[END] 2023-06-24T16:19:20

[INSTANCE] bnd_s1_i12.mps.gz
[START] 2023-06-24T16:19:20
[DUALBOUND] 12668.000000000
[END] 2023-06-24T16:22:30

[INSTANCE] bnd_s1_i13.mps.gz
[START] 2023-06-24T16:22:30
[DUALBOUND] 11592.000000000
[END] 2023-06-24T16:24:54

[INSTANCE] bnd_s1_i14.mps.gz
[START] 2023-06-24T16:24:54
[DUALBOUND] 11747.000000000
[END] 2023-06-24T16:30:47

[INSTANCE] bnd_s1_i15.mps.gz
[START] 2023-06-24T16:30:48
[DUALBOUND] 11862.000000000
[END] 2023-06-24T16:32:44

[INSTANCE] bnd_s1_i16.mps.gz
[START] 2023-06-24T16:32:44
[DUALBOUND] 11466.000000000
[END] 2023-06-24T16:38:51

[INSTANCE] bnd_s1_i17.mps.gz
[START] 2023-06-24T16:38:51
[DUALBOUND] 11633.000000000
[END] 2023-06-24T16:41:35

[INSTANCE] bnd_s1_i18.mps.gz
[START] 2023-06-24T16:41:35
[DUALBOUND] 13693.000000000
[END] 2023-06-24T16:48:07

[INSTANCE] bnd_s1_i19.mps.gz
[START] 2023-06-24T16:48:07
[DUALBOUND] 11615.000000000
[END] 2023-06-24T16:56:46

[INSTANCE] bnd_s1_i20.mps.gz
[START] 2023-06-24T16:56:46
[DUALBOUND] 13684.000000000
[END] 2023-06-24T17:00:08

[INSTANCE] bnd_s1_i21.mps.gz
[START] 2023-06-24T17:00:08
[DUALBOUND] 11764.000000000
[END] 2023-06-24T17:04:22

[INSTANCE] bnd_s1_i22.mps.gz
[START] 2023-06-24T17:04:23
[DUALBOUND] 11551.000000000
[END] 2023-06-24T17:09:55

[INSTANCE] bnd_s1_i23.mps.gz
[START] 2023-06-24T17:09:55
[DUALBOUND] 12520.442981217
[END] 2023-06-24T17:19:54

[INSTANCE] bnd_s1_i24.mps.gz
[START] 2023-06-24T17:19:54
[DUALBOUND] 13587.000000000
[END] 2023-06-24T17:21:10

[INSTANCE] bnd_s1_i25.mps.gz
[START] 2023-06-24T17:21:10
[DUALBOUND] 15777.000000000
[END] 2023-06-24T17:24:53

[INSTANCE] bnd_s1_i26.mps.gz
[START] 2023-06-24T17:24:54
[DUALBOUND] 11773.000000000
[END] 2023-06-24T17:34:12

[INSTANCE] bnd_s1_i27.mps.gz
[START] 2023-06-24T17:34:12
[DUALBOUND] 14848.000000000
[END] 2023-06-24T17:38:39

[INSTANCE] bnd_s1_i28.mps.gz
[START] 2023-06-24T17:38:39
[DUALBOUND] 11465.000000000
