datasets/testfiles/rhs_series_2.test

60
RHS changed 
SCIP Version: 8.02
[INSTANCE] rhs_s2_i01.mps.gz
[START] 2023-06-24T15:11:42
[DUALBOUND] -17208.712602100
[END] 2023-06-24T15:12:41

[INSTANCE] rhs_s2_i02.mps.gz
[START] 2023-06-24T15:12:41
[DUALBOUND] -17167.436151164
[END] 2023-06-24T15:13:39

[INSTANCE] rhs_s2_i03.mps.gz
[START] 2023-06-24T15:13:39
[DUALBOUND] -17197.398216315
[END] 2023-06-24T15:14:38

[INSTANCE] rhs_s2_i04.mps.gz
[START] 2023-06-24T15:14:38
[DUALBOUND] -17186.595389353
[END] 2023-06-24T15:15:37

[INSTANCE] rhs_s2_i05.mps.gz
[START] 2023-06-24T15:15:37
[DUALBOUND] -17190.434285288
[END] 2023-06-24T15:16:36

[INSTANCE] rhs_s2_i06.mps.gz
[START] 2023-06-24T15:16:36
[DUALBOUND] -17182.847408633
[END] 2023-06-24T15:17:35

[INSTANCE] rhs_s2_i07.mps.gz
[START] 2023-06-24T15:17:35
[DUALBOUND] -17186.197614699
[END] 2023-06-24T15:18:34

[INSTANCE] rhs_s2_i08.mps.gz
[START] 2023-06-24T15:18:34
[DUALBOUND] -17167.714506767
[END] 2023-06-24T15:19:25

[INSTANCE] rhs_s2_i09.mps.gz
[START] 2023-06-24T15:19:25
[DUALBOUND] -17175.977019675
[END] 2023-06-24T15:20:24

[INSTANCE] rhs_s2_i10.mps.gz
[START] 2023-06-24T15:20:24
[DUALBOUND] -17167.801334602
[END] 2023-06-24T15:21:17

[INSTANCE] rhs_s2_i11.mps.gz
[START] 2023-06-24T15:21:17
[DUALBOUND] -17167.848211168
[END] 2023-06-24T15:22:06

[INSTANCE] rhs_s2_i12.mps.gz
[START] 2023-06-24T15:22:06
[DUALBOUND] -17186.962590665
[END] 2023-06-24T15:23:05

[INSTANCE] rhs_s2_i13.mps.gz
[START] 2023-06-24T15:23:05
[DUALBOUND] -17187.041083739
[END] 2023-06-24T15:24:04

[INSTANCE] rhs_s2_i14.mps.gz
[START] 2023-06-24T15:24:04
[DUALBOUND] -17187.189670260
[END] 2023-06-24T15:25:03

[INSTANCE] rhs_s2_i15.mps.gz
[START] 2023-06-24T15:25:03
[DUALBOUND] -17177.975381603
[END] 2023-06-24T15:26:02

[INSTANCE] rhs_s2_i16.mps.gz
[START] 2023-06-24T15:26:02
[DUALBOUND] -17168.066938582
[END] 2023-06-24T15:26:55

[INSTANCE] rhs_s2_i17.mps.gz
[START] 2023-06-24T15:26:55
[DUALBOUND] -17168.108558948
[END] 2023-06-24T15:27:47

[INSTANCE] rhs_s2_i18.mps.gz
[START] 2023-06-24T15:27:47
[DUALBOUND] -17182.855413840
[END] 2023-06-24T15:28:46

[INSTANCE] rhs_s2_i19.mps.gz
[START] 2023-06-24T15:28:46
[DUALBOUND] -17168.198622532
[END] 2023-06-24T15:29:37

[INSTANCE] rhs_s2_i20.mps.gz
[START] 2023-06-24T15:29:37
[DUALBOUND] -17168.249813263
[END] 2023-06-24T15:30:25

[INSTANCE] rhs_s2_i21.mps.gz
[START] 2023-06-24T15:30:25
[DUALBOUND] -17176.320454036
[END] 2023-06-24T15:31:24

[INSTANCE] rhs_s2_i22.mps.gz
[START] 2023-06-24T15:31:24
[DUALBOUND] -17168.410902396
[END] 2023-06-24T15:32:17

[INSTANCE] rhs_s2_i23.mps.gz
[START] 2023-06-24T15:32:17
[DUALBOUND] -17187.859383261
[END] 2023-06-24T15:33:16

[INSTANCE] rhs_s2_i24.mps.gz
[START] 2023-06-24T15:33:16
[DUALBOUND] -17193.008479835
[END] 2023-06-24T15:34:15

[INSTANCE] rhs_s2_i25.mps.gz
[START] 2023-06-24T15:34:16
[DUALBOUND] -17168.772508469
[END] 2023-06-24T15:35:13

[INSTANCE] rhs_s2_i26.mps.gz
[START] 2023-06-24T15:35:13
[DUALBOUND] -17189.452709361
[END] 2023-06-24T15:36:12

[INSTANCE] rhs_s2_i27.mps.gz
[START] 2023-06-24T15:36:12
[DUALBOUND] -17182.488295909
[END] 2023-06-24T15:37:11

[INSTANCE] rhs_s2_i28.mps.gz
