datasets/testfiles/bnd_series_1.test

600
UP changed 
SCIP Version: 8.02
[INSTANCE] bnd_s1_i01.mps.gz
[START] 2023-02-18T01:07:53
[DUALBOUND] 10726.279095865
[END] 2023-02-18T01:17:51

[INSTANCE] bnd_s1_i02.mps.gz
[START] 2023-02-18T01:17:51
[DUALBOUND] 13512.000000000
[END] 2023-02-18T01:22:01

[INSTANCE] bnd_s1_i03.mps.gz
[START] 2023-02-18T01:22:01
[DUALBOUND] 11567.000000000
[END] 2023-02-18T01:25:48

[INSTANCE] bnd_s1_i04.mps.gz
[START] 2023-02-18T01:25:48
[DUALBOUND] 11784.000000000
[END] 2023-02-18T01:35:03

[INSTANCE] bnd_s1_i05.mps.gz
[START] 2023-02-18T01:35:03
[DUALBOUND] 13363.000000000
[END] 2023-02-18T01:40:09

[INSTANCE] bnd_s1_i06.mps.gz
[START] 2023-02-18T01:40:09
[DUALBOUND] 12210.000000000
[END] 2023-02-18T01:42:32

[INSTANCE] bnd_s1_i07.mps.gz
[START] 2023-02-18T01:42:32
[DUALBOUND] 11437.969238281
[END] 2023-02-18T01:52:30

[INSTANCE] bnd_s1_i08.mps.gz
[START] 2023-02-18T01:52:30
[DUALBOUND] 10910.780972886
[END] 2023-02-18T02:02:28

[INSTANCE] bnd_s1_i09.mps.gz
[START] 2023-02-18T02:02:28
[DUALBOUND] 11668.124323121
[END] 2023-02-18T02:12:26

[INSTANCE] bnd_s1_i10.mps.gz
[START] 2023-02-18T02:12:26
[DUALBOUND] 12464.536807262
[END] 2023-02-18T02:22:24

[INSTANCE] bnd_s1_i11.mps.gz
[START] 2023-02-18T02:22:24
[DUALBOUND] 13280.000000000
[END] 2023-02-18T02:26:55

[INSTANCE] bnd_s1_i12.mps.gz
[START] 2023-02-18T02:26:55
[DUALBOUND] 12188.000000000
[END] 2023-02-18T02:36:53

[INSTANCE] bnd_s1_i13.mps.gz
[START] 2023-02-18T02:36:54
[DUALBOUND] 11592.000000000
[END] 2023-02-18T02:39:59

[INSTANCE] bnd_s1_i14.mps.gz
[START] 2023-02-18T02:39:59
[DUALBOUND] 11747.000000000
[END] 2023-02-18T02:45:33

[INSTANCE] bnd_s1_i15.mps.gz
[START] 2023-02-18T02:45:33
[DUALBOUND] 11862.000000000
[END] 2023-02-18T02:47:32

[INSTANCE] bnd_s1_i16.mps.gz
[START] 2023-02-18T02:47:32
[DUALBOUND] 11466.000000000
[END] 2023-02-18T02:55:30

[INSTANCE] bnd_s1_i17.mps.gz
[START] 2023-02-18T02:55:30
[DUALBOUND] 11633.000000000
[END] 2023-02-18T02:59:30

[INSTANCE] bnd_s1_i18.mps.gz
[START] 2023-02-18T02:59:30
[DUALBOUND] 13693.000000000
[END] 2023-02-18T03:01:38

[INSTANCE] bnd_s1_i19.mps.gz
[START] 2023-02-18T03:01:38
[DUALBOUND] 11615.000000000
[END] 2023-02-18T03:04:10

[INSTANCE] bnd_s1_i20.mps.gz
[START] 2023-02-18T03:04:10
[DUALBOUND] 13684.000000000
[END] 2023-02-18T03:09:00

[INSTANCE] bnd_s1_i21.mps.gz
[START] 2023-02-18T03:09:00
[DUALBOUND] 11764.000000000
[END] 2023-02-18T03:14:07

[INSTANCE] bnd_s1_i22.mps.gz
[START] 2023-02-18T03:14:07
[DUALBOUND] 11551.000000000
[END] 2023-02-18T03:22:24

[INSTANCE] bnd_s1_i23.mps.gz
[START] 2023-02-18T03:22:24
[DUALBOUND] 12634.000000000
[END] 2023-02-18T03:29:45

[INSTANCE] bnd_s1_i24.mps.gz
[START] 2023-02-18T03:29:45
[DUALBOUND] 13587.000000000
[END] 2023-02-18T03:30:33

[INSTANCE] bnd_s1_i25.mps.gz
[START] 2023-02-18T03:30:33
[DUALBOUND] 15777.000000000
[END] 2023-02-18T03:37:06

[INSTANCE] bnd_s1_i26.mps.gz
[START] 2023-02-18T03:37:06
[DUALBOUND] 11773.000000000
[END] 2023-02-18T03:40:33

[INSTANCE] bnd_s1_i27.mps.gz
[START] 2023-02-18T03:40:33
[DUALBOUND] 14848.000000000
[END] 2023-02-18T03:42:51

[INSTANCE] bnd_s1_i28.mps.gz
[START] 2023-02-18T03:42:51
[DUALBOUND] 11465.000000000
