datasets/testfiles/rhs_series_2.test

60
RHS changed 
SCIP Version: 8.02
[INSTANCE] rhs_s2_i01.mps.gz
[START] 2023-06-22T14:52:02
[DUALBOUND] -17196.688449590
[END] 2023-06-22T14:53:01

[INSTANCE] rhs_s2_i02.mps.gz
[START] 2023-06-22T14:53:01
[DUALBOUND] -17179.264658650
[END] 2023-06-22T14:54:00

[INSTANCE] rhs_s2_i03.mps.gz
[START] 2023-06-22T14:54:00
[DUALBOUND] -17181.959959803
[END] 2023-06-22T14:54:59

[INSTANCE] rhs_s2_i04.mps.gz
[START] 2023-06-22T14:54:59
[DUALBOUND] -17167.530462696
[END] 2023-06-22T14:55:54

[INSTANCE] rhs_s2_i05.mps.gz
[START] 2023-06-22T14:55:54
[DUALBOUND] -17167.576664778
[END] 2023-06-22T14:56:53

[INSTANCE] rhs_s2_i06.mps.gz
[START] 2023-06-22T14:56:53
[DUALBOUND] -17186.297779735
[END] 2023-06-22T14:57:52

[INSTANCE] rhs_s2_i07.mps.gz
[START] 2023-06-22T14:57:52
[DUALBOUND] -17188.656052240
[END] 2023-06-22T14:58:51

[INSTANCE] rhs_s2_i08.mps.gz
[START] 2023-06-22T14:58:51
[DUALBOUND] -17182.337210150
[END] 2023-06-22T14:59:50

[INSTANCE] rhs_s2_i09.mps.gz
[START] 2023-06-22T14:59:50
[DUALBOUND] -17194.481074034
[END] 2023-06-22T15:00:49

[INSTANCE] rhs_s2_i10.mps.gz
[START] 2023-06-22T15:00:49
[DUALBOUND] -17184.525982307
[END] 2023-06-22T15:01:48

[INSTANCE] rhs_s2_i11.mps.gz
[START] 2023-06-22T15:01:48
[DUALBOUND] -17184.090719550
[END] 2023-06-22T15:02:47

[INSTANCE] rhs_s2_i12.mps.gz
[START] 2023-06-22T15:02:47
[DUALBOUND] -17193.817461897
[END] 2023-06-22T15:03:46

[INSTANCE] rhs_s2_i13.mps.gz
[START] 2023-06-22T15:03:47
[DUALBOUND] -17203.612637396
[END] 2023-06-22T15:04:46

[INSTANCE] rhs_s2_i14.mps.gz
[START] 2023-06-22T15:04:46
[DUALBOUND] -17191.139830567
[END] 2023-06-22T15:05:45

[INSTANCE] rhs_s2_i15.mps.gz
[START] 2023-06-22T15:05:45
[DUALBOUND] -17175.239482784
[END] 2023-06-22T15:06:44

[INSTANCE] rhs_s2_i16.mps.gz
[START] 2023-06-22T15:06:44
[DUALBOUND] -17168.066938582
[END] 2023-06-22T15:07:43

[INSTANCE] rhs_s2_i17.mps.gz
[START] 2023-06-22T15:07:43
[DUALBOUND] -17184.460774655
[END] 2023-06-22T15:08:42

[INSTANCE] rhs_s2_i18.mps.gz
[START] 2023-06-22T15:08:42
[DUALBOUND] -17189.457122849
[END] 2023-06-22T15:09:41

[INSTANCE] rhs_s2_i19.mps.gz
[START] 2023-06-22T15:09:41
[DUALBOUND] -17185.700279937
[END] 2023-06-22T15:10:40

[INSTANCE] rhs_s2_i20.mps.gz
[START] 2023-06-22T15:10:40
[DUALBOUND] -17168.249813263
[END] 2023-06-22T15:11:36

[INSTANCE] rhs_s2_i21.mps.gz
[START] 2023-06-22T15:11:36
[DUALBOUND] -17192.702588459
[END] 2023-06-22T15:12:35

[INSTANCE] rhs_s2_i22.mps.gz
[START] 2023-06-22T15:12:35
[DUALBOUND] -17187.814804951
[END] 2023-06-22T15:13:34

[INSTANCE] rhs_s2_i23.mps.gz
[START] 2023-06-22T15:13:34
[DUALBOUND] -17189.328289908
[END] 2023-06-22T15:14:33

[INSTANCE] rhs_s2_i24.mps.gz
[START] 2023-06-22T15:14:33
[DUALBOUND] -17202.915877374
[END] 2023-06-22T15:15:33

[INSTANCE] rhs_s2_i25.mps.gz
[START] 2023-06-22T15:15:33
[DUALBOUND] -17187.911649629
[END] 2023-06-22T15:16:32

[INSTANCE] rhs_s2_i26.mps.gz
[START] 2023-06-22T15:16:32
[DUALBOUND] -17202.058003926
[END] 2023-06-22T15:17:31

[INSTANCE] rhs_s2_i27.mps.gz
[START] 2023-06-22T15:17:31
[DUALBOUND] -17187.280729947
[END] 2023-06-22T15:18:30

[INSTANCE] rhs_s2_i28.mps.gz
