datasets/testfiles/bnd_series_1.test

600
UP changed 
SCIP Version: 8.02
[INSTANCE] bnd_s1_i01.mps.gz
[START] 2023-06-22T14:52:01
[DUALBOUND] 11560.226989059
[END] 2023-06-22T15:02:01

[INSTANCE] bnd_s1_i02.mps.gz
[START] 2023-06-22T15:02:01
[DUALBOUND] 13512.000000000
[END] 2023-06-22T15:06:58

[INSTANCE] bnd_s1_i03.mps.gz
[START] 2023-06-22T15:06:58
[DUALBOUND] 11567.000000000
[END] 2023-06-22T15:15:38

[INSTANCE] bnd_s1_i04.mps.gz
[START] 2023-06-22T15:15:38
[DUALBOUND] 11612.112254590
[END] 2023-06-22T15:25:37

[INSTANCE] bnd_s1_i05.mps.gz
[START] 2023-06-22T15:25:37
[DUALBOUND] 13363.000000000
[END] 2023-06-22T15:31:58

[INSTANCE] bnd_s1_i06.mps.gz
[START] 2023-06-22T15:31:58
[DUALBOUND] 12210.000000000
[END] 2023-06-22T15:33:44

[INSTANCE] bnd_s1_i07.mps.gz
[START] 2023-06-22T15:33:44
[DUALBOUND] 11554.714791883
[END] 2023-06-22T15:43:43

[INSTANCE] bnd_s1_i08.mps.gz
[START] 2023-06-22T15:43:43
[DUALBOUND] 11545.000000000
[END] 2023-06-22T15:48:57

[INSTANCE] bnd_s1_i09.mps.gz
[START] 2023-06-22T15:48:57
[DUALBOUND] 11219.000000000
[END] 2023-06-22T15:58:56

[INSTANCE] bnd_s1_i10.mps.gz
[START] 2023-06-22T15:58:56
[DUALBOUND] 13117.022274898
[END] 2023-06-22T16:08:55

[INSTANCE] bnd_s1_i11.mps.gz
[START] 2023-06-22T16:08:55
[DUALBOUND] 13280.000000000
[END] 2023-06-22T16:16:43

[INSTANCE] bnd_s1_i12.mps.gz
[START] 2023-06-22T16:16:43
[DUALBOUND] 12668.000000000
[END] 2023-06-22T16:24:35

[INSTANCE] bnd_s1_i13.mps.gz
[START] 2023-06-22T16:24:35
[DUALBOUND] 11592.000000000
[END] 2023-06-22T16:34:20

[INSTANCE] bnd_s1_i14.mps.gz
[START] 2023-06-22T16:34:20
[DUALBOUND] 11477.115290869
[END] 2023-06-22T16:44:19

[INSTANCE] bnd_s1_i15.mps.gz
[START] 2023-06-22T16:44:19
[DUALBOUND] 11862.000000000
[END] 2023-06-22T16:47:29

[INSTANCE] bnd_s1_i16.mps.gz
[START] 2023-06-22T16:47:29
[DUALBOUND] 11466.000000000
[END] 2023-06-22T16:56:14

[INSTANCE] bnd_s1_i17.mps.gz
[START] 2023-06-22T16:56:14
[DUALBOUND] 11633.000000000
[END] 2023-06-22T17:04:35

[INSTANCE] bnd_s1_i18.mps.gz
[START] 2023-06-22T17:04:35
[DUALBOUND] 13693.000000000
[END] 2023-06-22T17:09:34

[INSTANCE] bnd_s1_i19.mps.gz
[START] 2023-06-22T17:09:34
[DUALBOUND] 11459.572021057
[END] 2023-06-22T17:19:33

[INSTANCE] bnd_s1_i20.mps.gz
[START] 2023-06-22T17:19:33
[DUALBOUND] 13684.000000000
[END] 2023-06-22T17:25:12

[INSTANCE] bnd_s1_i21.mps.gz
[START] 2023-06-22T17:25:12
[DUALBOUND] 11764.000000000
[END] 2023-06-22T17:27:51

[INSTANCE] bnd_s1_i22.mps.gz
[START] 2023-06-22T17:27:51
[DUALBOUND] 11551.000000000
[END] 2023-06-22T17:37:01

[INSTANCE] bnd_s1_i23.mps.gz
[START] 2023-06-22T17:37:01
[DUALBOUND] 12499.119310491
[END] 2023-06-22T17:47:00

[INSTANCE] bnd_s1_i24.mps.gz
[START] 2023-06-22T17:47:01
[DUALBOUND] 13587.000000000
[END] 2023-06-22T17:48:19

[INSTANCE] bnd_s1_i25.mps.gz
[START] 2023-06-22T17:48:19
[DUALBOUND] 15036.877234245
[END] 2023-06-22T17:58:18

[INSTANCE] bnd_s1_i26.mps.gz
[START] 2023-06-22T17:58:18
[DUALBOUND] 11773.000000000
[END] 2023-06-22T18:07:57

[INSTANCE] bnd_s1_i27.mps.gz
[START] 2023-06-22T18:07:57
[DUALBOUND] 14369.521036171
[END] 2023-06-22T18:17:56

[INSTANCE] bnd_s1_i28.mps.gz
[START] 2023-06-22T18:17:56
[DUALBOUND] 11465.000000000
