datasets/testfiles/rhs_series_2.test

60
RHS changed 
SCIP Version: 8.02
[INSTANCE] rhs_s2_i01.mps.gz
[START] 2023-06-20T11:21:43
[DUALBOUND] -17196.688449590
[END] 2023-06-20T11:22:42

[INSTANCE] rhs_s2_i02.mps.gz
[START] 2023-06-20T11:22:42
[DUALBOUND] -17167.436151164
[END] 2023-06-20T11:23:38

[INSTANCE] rhs_s2_i03.mps.gz
[START] 2023-06-20T11:23:38
[DUALBOUND] -17180.610155638
[END] 2023-06-20T11:24:37

[INSTANCE] rhs_s2_i04.mps.gz
[START] 2023-06-20T11:24:37
[DUALBOUND] -17167.530462696
[END] 2023-06-20T11:25:31

[INSTANCE] rhs_s2_i05.mps.gz
[START] 2023-06-20T11:25:31
[DUALBOUND] -17167.576664778
[END] 2023-06-20T11:26:30

[INSTANCE] rhs_s2_i06.mps.gz
[START] 2023-06-20T11:26:30
[DUALBOUND] -17187.808044617
[END] 2023-06-20T11:27:29

[INSTANCE] rhs_s2_i07.mps.gz
[START] 2023-06-20T11:27:29
[DUALBOUND] -17188.054638903
[END] 2023-06-20T11:28:28

[INSTANCE] rhs_s2_i08.mps.gz
[START] 2023-06-20T11:28:28
[DUALBOUND] -17167.714506767
[END] 2023-06-20T11:29:27

[INSTANCE] rhs_s2_i09.mps.gz
[START] 2023-06-20T11:29:27
[DUALBOUND] -17167.753852180
[END] 2023-06-20T11:30:23

[INSTANCE] rhs_s2_i10.mps.gz
[START] 2023-06-20T11:30:23
[DUALBOUND] -17185.618490444
[END] 2023-06-20T11:31:22

[INSTANCE] rhs_s2_i11.mps.gz
[START] 2023-06-20T11:31:22
[DUALBOUND] -17167.848211168
[END] 2023-06-20T11:32:21

[INSTANCE] rhs_s2_i12.mps.gz
[START] 2023-06-20T11:32:21
[DUALBOUND] -17180.021549334
[END] 2023-06-20T11:33:20

[INSTANCE] rhs_s2_i13.mps.gz
[START] 2023-06-20T11:33:20
[DUALBOUND] -17184.365393309
[END] 2023-06-20T11:34:19

[INSTANCE] rhs_s2_i14.mps.gz
[START] 2023-06-20T11:34:19
[DUALBOUND] -17184.655852965
[END] 2023-06-20T11:35:18

[INSTANCE] rhs_s2_i15.mps.gz
[START] 2023-06-20T11:35:18
[DUALBOUND] -17182.877921152
[END] 2023-06-20T11:36:17

[INSTANCE] rhs_s2_i16.mps.gz
[START] 2023-06-20T11:36:17
[DUALBOUND] -17190.251670256
[END] 2023-06-20T11:37:16

[INSTANCE] rhs_s2_i17.mps.gz
[START] 2023-06-20T11:37:16
[DUALBOUND] -17186.182268538
[END] 2023-06-20T11:38:15

[INSTANCE] rhs_s2_i18.mps.gz
[START] 2023-06-20T11:38:15
[DUALBOUND] -17188.468345476
[END] 2023-06-20T11:39:14

[INSTANCE] rhs_s2_i19.mps.gz
[START] 2023-06-20T11:39:14
[DUALBOUND] -17168.198622532
[END] 2023-06-20T11:40:11

[INSTANCE] rhs_s2_i20.mps.gz
[START] 2023-06-20T11:40:11
[DUALBOUND] -17168.249813263
[END] 2023-06-20T11:41:09

[INSTANCE] rhs_s2_i21.mps.gz
[START] 2023-06-20T11:41:10
[DUALBOUND] -17188.211083661
[END] 2023-06-20T11:42:09

[INSTANCE] rhs_s2_i22.mps.gz
[START] 2023-06-20T11:42:09
[DUALBOUND] -17187.271629091
[END] 2023-06-20T11:43:08

[INSTANCE] rhs_s2_i23.mps.gz
[START] 2023-06-20T11:43:08
[DUALBOUND] -17186.207854303
[END] 2023-06-20T11:44:07

[INSTANCE] rhs_s2_i24.mps.gz
[START] 2023-06-20T11:44:07
[DUALBOUND] -17195.774180384
[END] 2023-06-20T11:45:06

[INSTANCE] rhs_s2_i25.mps.gz
[START] 2023-06-20T11:45:06
[DUALBOUND] -17189.058526875
[END] 2023-06-20T11:46:05

[INSTANCE] rhs_s2_i26.mps.gz
[START] 2023-06-20T11:46:05
[DUALBOUND] -17189.082363272
[END] 2023-06-20T11:47:04

[INSTANCE] rhs_s2_i27.mps.gz
[START] 2023-06-20T11:47:04
[DUALBOUND] -17185.204938949
[END] 2023-06-20T11:48:03

[INSTANCE] rhs_s2_i28.mps.gz
