datasets/testfiles/bnd_series_1.test

600
UP changed 
SCIP Version: 8.02
[INSTANCE] bnd_s1_i01.mps.gz
[START] 2023-06-20T11:21:43
[DUALBOUND] 11683.000000000
[END] 2023-06-20T11:31:42

[INSTANCE] bnd_s1_i02.mps.gz
[START] 2023-06-20T11:31:42
[DUALBOUND] 13512.000000000
[END] 2023-06-20T11:36:38

[INSTANCE] bnd_s1_i03.mps.gz
[START] 2023-06-20T11:36:38
[DUALBOUND] 11567.000000000
[END] 2023-06-20T11:45:21

[INSTANCE] bnd_s1_i04.mps.gz
[START] 2023-06-20T11:45:21
[DUALBOUND] 11284.000000000
[END] 2023-06-20T11:55:20

[INSTANCE] bnd_s1_i05.mps.gz
[START] 2023-06-20T11:55:20
[DUALBOUND] 13363.000000000
[END] 2023-06-20T12:01:40

[INSTANCE] bnd_s1_i06.mps.gz
[START] 2023-06-20T12:01:40
[DUALBOUND] 12210.000000000
[END] 2023-06-20T12:03:25

[INSTANCE] bnd_s1_i07.mps.gz
[START] 2023-06-20T12:03:25
[DUALBOUND] 11556.060012368
[END] 2023-06-20T12:13:24

[INSTANCE] bnd_s1_i08.mps.gz
[START] 2023-06-20T12:13:24
[DUALBOUND] 10975.000000000
[END] 2023-06-20T12:23:23

[INSTANCE] bnd_s1_i09.mps.gz
[START] 2023-06-20T12:23:23
[DUALBOUND] 11219.000000000
[END] 2023-06-20T12:33:22

[INSTANCE] bnd_s1_i10.mps.gz
[START] 2023-06-20T12:33:23
[DUALBOUND] 12159.000000000
[END] 2023-06-20T12:43:22

[INSTANCE] bnd_s1_i11.mps.gz
[START] 2023-06-20T12:43:22
[DUALBOUND] 13280.000000000
[END] 2023-06-20T12:51:07

[INSTANCE] bnd_s1_i12.mps.gz
[START] 2023-06-20T12:51:07
[DUALBOUND] 12327.857024682
[END] 2023-06-20T13:01:06

[INSTANCE] bnd_s1_i13.mps.gz
[START] 2023-06-20T13:01:06
[DUALBOUND] 11592.000000000
[END] 2023-06-20T13:10:47

[INSTANCE] bnd_s1_i14.mps.gz
[START] 2023-06-20T13:10:47
[DUALBOUND] 10850.000000000
[END] 2023-06-20T13:20:46

[INSTANCE] bnd_s1_i15.mps.gz
[START] 2023-06-20T13:20:46
[DUALBOUND] 11862.000000000
[END] 2023-06-20T13:23:52

[INSTANCE] bnd_s1_i16.mps.gz
[START] 2023-06-20T13:23:52
[DUALBOUND] 10840.000000000
[END] 2023-06-20T13:33:51

[INSTANCE] bnd_s1_i17.mps.gz
[START] 2023-06-20T13:33:51
[DUALBOUND] 11151.000000000
[END] 2023-06-20T13:43:50

[INSTANCE] bnd_s1_i18.mps.gz
[START] 2023-06-20T13:43:50
[DUALBOUND] 13693.000000000
[END] 2023-06-20T13:48:49

[INSTANCE] bnd_s1_i19.mps.gz
[START] 2023-06-20T13:48:49
[DUALBOUND] 10636.000000000
[END] 2023-06-20T13:58:48

[INSTANCE] bnd_s1_i20.mps.gz
[START] 2023-06-20T13:58:48
[DUALBOUND] 13684.000000000
[END] 2023-06-20T14:04:27

[INSTANCE] bnd_s1_i21.mps.gz
[START] 2023-06-20T14:04:27
[DUALBOUND] 11764.000000000
[END] 2023-06-20T14:07:01

[INSTANCE] bnd_s1_i22.mps.gz
[START] 2023-06-20T14:07:01
[DUALBOUND] 11551.000000000
[END] 2023-06-20T14:16:00

[INSTANCE] bnd_s1_i23.mps.gz
[START] 2023-06-20T14:16:00
[DUALBOUND] 10993.000000000
[END] 2023-06-20T14:25:59

[INSTANCE] bnd_s1_i24.mps.gz
[START] 2023-06-20T14:25:59
[DUALBOUND] 13587.000000000
[END] 2023-06-20T14:27:15

[INSTANCE] bnd_s1_i25.mps.gz
[START] 2023-06-20T14:27:15
[DUALBOUND] 15068.392038606
[END] 2023-06-20T14:37:14

[INSTANCE] bnd_s1_i26.mps.gz
[START] 2023-06-20T14:37:14
[DUALBOUND] 11773.000000000
[END] 2023-06-20T14:46:36

[INSTANCE] bnd_s1_i27.mps.gz
[START] 2023-06-20T14:46:36
[DUALBOUND] 14387.830166503
[END] 2023-06-20T14:56:35

[INSTANCE] bnd_s1_i28.mps.gz
[START] 2023-06-20T14:56:35
[DUALBOUND] 11465.000000000
