datasets/testfiles/bnd_series_1.test

600
UP changed 
SCIP Version: 8.02
[INSTANCE] bnd_s1_i01.mps.gz
[START] 2023-02-28T08:07:56
[DUALBOUND] 10759.062177170
[END] 2023-02-28T08:17:54

[INSTANCE] bnd_s1_i02.mps.gz
[START] 2023-02-28T08:17:54
[DUALBOUND] 13512.000000000
[END] 2023-02-28T08:22:46

[INSTANCE] bnd_s1_i03.mps.gz
[START] 2023-02-28T08:22:46
[DUALBOUND] 11567.000000000
[END] 2023-02-28T08:30:31

[INSTANCE] bnd_s1_i04.mps.gz
[START] 2023-02-28T08:30:31
[DUALBOUND] 11356.310225146
[END] 2023-02-28T08:40:29

[INSTANCE] bnd_s1_i05.mps.gz
[START] 2023-02-28T08:40:29
[DUALBOUND] 13363.000000000
[END] 2023-02-28T08:46:08

[INSTANCE] bnd_s1_i06.mps.gz
[START] 2023-02-28T08:46:08
[DUALBOUND] 12210.000000000
[END] 2023-02-28T08:47:08

[INSTANCE] bnd_s1_i07.mps.gz
[START] 2023-02-28T08:47:08
[DUALBOUND] 11386.221923828
[END] 2023-02-28T08:57:06

[INSTANCE] bnd_s1_i08.mps.gz
[START] 2023-02-28T08:57:06
[DUALBOUND] 10538.000000000
[END] 2023-02-28T09:07:04

[INSTANCE] bnd_s1_i09.mps.gz
[START] 2023-02-28T09:07:04
[DUALBOUND] 12015.000000000
[END] 2023-02-28T09:16:32

[INSTANCE] bnd_s1_i10.mps.gz
[START] 2023-02-28T09:16:32
[DUALBOUND] 12475.000000000
[END] 2023-02-28T09:26:30

[INSTANCE] bnd_s1_i11.mps.gz
[START] 2023-02-28T09:26:30
[DUALBOUND] 13280.000000000
[END] 2023-02-28T09:31:23

[INSTANCE] bnd_s1_i12.mps.gz
[START] 2023-02-28T09:31:23
[DUALBOUND] 12348.279317537
[END] 2023-02-28T09:41:21

[INSTANCE] bnd_s1_i13.mps.gz
[START] 2023-02-28T09:41:21
[DUALBOUND] 11592.000000000
[END] 2023-02-28T09:44:56

[INSTANCE] bnd_s1_i14.mps.gz
[START] 2023-02-28T09:44:56
[DUALBOUND] 11747.000000000
[END] 2023-02-28T09:53:02

[INSTANCE] bnd_s1_i15.mps.gz
[START] 2023-02-28T09:53:02
[DUALBOUND] 11862.000000000
[END] 2023-02-28T09:55:53

[INSTANCE] bnd_s1_i16.mps.gz
[START] 2023-02-28T09:55:53
[DUALBOUND] 11466.000000000
[END] 2023-02-28T10:01:51

[INSTANCE] bnd_s1_i17.mps.gz
[START] 2023-02-28T10:01:51
[DUALBOUND] 11633.000000000
[END] 2023-02-28T10:04:40

[INSTANCE] bnd_s1_i18.mps.gz
[START] 2023-02-28T10:04:40
[DUALBOUND] 13693.000000000
[END] 2023-02-28T10:07:42

[INSTANCE] bnd_s1_i19.mps.gz
[START] 2023-02-28T10:07:42
[DUALBOUND] 11451.078851255
[END] 2023-02-28T10:17:40

[INSTANCE] bnd_s1_i20.mps.gz
[START] 2023-02-28T10:17:40
[DUALBOUND] 13684.000000000
[END] 2023-02-28T10:23:46

[INSTANCE] bnd_s1_i21.mps.gz
[START] 2023-02-28T10:23:46
[DUALBOUND] 11764.000000000
[END] 2023-02-28T10:27:55

[INSTANCE] bnd_s1_i22.mps.gz
[START] 2023-02-28T10:27:55
[DUALBOUND] 11551.000000000
[END] 2023-02-28T10:33:37

[INSTANCE] bnd_s1_i23.mps.gz
[START] 2023-02-28T10:33:37
[DUALBOUND] 12634.000000000
[END] 2023-02-28T10:39:58

[INSTANCE] bnd_s1_i24.mps.gz
[START] 2023-02-28T10:39:58
[DUALBOUND] 13587.000000000
[END] 2023-02-28T10:41:10

[INSTANCE] bnd_s1_i25.mps.gz
[START] 2023-02-28T10:41:10
[DUALBOUND] 15777.000000000
[END] 2023-02-28T10:50:35

[INSTANCE] bnd_s1_i26.mps.gz
[START] 2023-02-28T10:50:35
[DUALBOUND] 11773.000000000
[END] 2023-02-28T10:57:24

[INSTANCE] bnd_s1_i27.mps.gz
[START] 2023-02-28T10:57:24
[DUALBOUND] 14848.000000000
[END] 2023-02-28T11:03:46

[INSTANCE] bnd_s1_i28.mps.gz
[START] 2023-02-28T11:03:46
[DUALBOUND] 11465.000000000
