datasets/testfiles/bnd_series_1.test

600
UP changed 
SCIP Version: 8.02
[INSTANCE] bnd_s1_i01.mps.gz
[START] 2023-06-21T10:37:15
[DUALBOUND] 11683.000000000
[END] 2023-06-21T10:46:59

[INSTANCE] bnd_s1_i02.mps.gz
[START] 2023-06-21T10:46:59
[DUALBOUND] 13512.000000000
[END] 2023-06-21T10:51:46

[INSTANCE] bnd_s1_i03.mps.gz
[START] 2023-06-21T10:51:46
[DUALBOUND] 11029.000000000
[END] 2023-06-21T11:01:45

[INSTANCE] bnd_s1_i04.mps.gz
[START] 2023-06-21T11:01:45
[DUALBOUND] 11101.000000000
[END] 2023-06-21T11:11:44

[INSTANCE] bnd_s1_i05.mps.gz
[START] 2023-06-21T11:11:44
[DUALBOUND] 11679.000000000
[END] 2023-06-21T11:21:43

[INSTANCE] bnd_s1_i06.mps.gz
[START] 2023-06-21T11:21:43
[DUALBOUND] 12210.000000000
[END] 2023-06-21T11:23:28

[INSTANCE] bnd_s1_i07.mps.gz
[START] 2023-06-21T11:23:28
[DUALBOUND] 11262.000000000
[END] 2023-06-21T11:33:27

[INSTANCE] bnd_s1_i08.mps.gz
[START] 2023-06-21T11:33:27
[DUALBOUND] 11066.000000000
[END] 2023-06-21T11:43:26

[INSTANCE] bnd_s1_i09.mps.gz
[START] 2023-06-21T11:43:26
[DUALBOUND] 11219.000000000
[END] 2023-06-21T11:53:25

[INSTANCE] bnd_s1_i10.mps.gz
[START] 2023-06-21T11:53:25
[DUALBOUND] 12239.000000000
[END] 2023-06-21T12:03:24

[INSTANCE] bnd_s1_i11.mps.gz
[START] 2023-06-21T12:03:24
[DUALBOUND] 13280.000000000
[END] 2023-06-21T12:11:01

[INSTANCE] bnd_s1_i12.mps.gz
[START] 2023-06-21T12:11:01
[DUALBOUND] 12297.560210598
[END] 2023-06-21T12:21:00

[INSTANCE] bnd_s1_i13.mps.gz
[START] 2023-06-21T12:21:00
[DUALBOUND] 11592.000000000
[END] 2023-06-21T12:30:29

[INSTANCE] bnd_s1_i14.mps.gz
[START] 2023-06-21T12:30:29
[DUALBOUND] 10878.000000000
[END] 2023-06-21T12:40:28

[INSTANCE] bnd_s1_i15.mps.gz
[START] 2023-06-21T12:40:28
[DUALBOUND] 11862.000000000
[END] 2023-06-21T12:43:32

[INSTANCE] bnd_s1_i16.mps.gz
[START] 2023-06-21T12:43:32
[DUALBOUND] 10967.000000000
[END] 2023-06-21T12:53:31

[INSTANCE] bnd_s1_i17.mps.gz
[START] 2023-06-21T12:53:31
[DUALBOUND] 11248.000000000
[END] 2023-06-21T13:03:30

[INSTANCE] bnd_s1_i18.mps.gz
[START] 2023-06-21T13:03:30
[DUALBOUND] 13693.000000000
[END] 2023-06-21T13:08:21

[INSTANCE] bnd_s1_i19.mps.gz
[START] 2023-06-21T13:08:21
[DUALBOUND] 10704.000000000
[END] 2023-06-21T13:18:20

[INSTANCE] bnd_s1_i20.mps.gz
[START] 2023-06-21T13:18:20
[DUALBOUND] 13684.000000000
[END] 2023-06-21T13:23:53

[INSTANCE] bnd_s1_i21.mps.gz
[START] 2023-06-21T13:23:54
[DUALBOUND] 11764.000000000
[END] 2023-06-21T13:26:28

[INSTANCE] bnd_s1_i22.mps.gz
[START] 2023-06-21T13:26:29
[DUALBOUND] 10645.000000000
[END] 2023-06-21T13:36:28

[INSTANCE] bnd_s1_i23.mps.gz
[START] 2023-06-21T13:36:28
[DUALBOUND] 10993.000000000
[END] 2023-06-21T13:46:27

[INSTANCE] bnd_s1_i24.mps.gz
[START] 2023-06-21T13:46:27
[DUALBOUND] 13587.000000000
[END] 2023-06-21T13:47:42

[INSTANCE] bnd_s1_i25.mps.gz
[START] 2023-06-21T13:47:42
[DUALBOUND] 15080.109106702
[END] 2023-06-21T13:57:41

[INSTANCE] bnd_s1_i26.mps.gz
[START] 2023-06-21T13:57:41
[DUALBOUND] 10991.000000000
[END] 2023-06-21T14:07:40

[INSTANCE] bnd_s1_i27.mps.gz
[START] 2023-06-21T14:07:40
[DUALBOUND] 14418.415818788
[END] 2023-06-21T14:17:40

[INSTANCE] bnd_s1_i28.mps.gz
[START] 2023-06-21T14:17:40
[DUALBOUND] 11465.000000000
