datasets/testfiles/matrix_series_1.test

300
MAT changed 
SCIP Version: 8.02
[INSTANCE] mat_s1_i01.mps.gz
[START] 2023-06-23T10:35:56
[DUALBOUND] 63.138918893
[END] 2023-06-23T10:39:40

[INSTANCE] mat_s1_i02.mps.gz
[START] 2023-06-23T10:39:40
[DUALBOUND] 60.540240329
[END] 2023-06-23T10:43:19

[INSTANCE] mat_s1_i03.mps.gz
[START] 2023-06-23T10:43:19
[DUALBOUND] 60.128679575
[END] 2023-06-23T10:48:18

[INSTANCE] mat_s1_i04.mps.gz
[START] 2023-06-23T10:48:18
[DUALBOUND] 60.226668606
[END] 2023-06-23T10:53:17

[INSTANCE] mat_s1_i05.mps.gz
[START] 2023-06-23T10:53:17
[DUALBOUND] 59.732102132
[END] 2023-06-23T10:58:16

[INSTANCE] mat_s1_i06.mps.gz
[START] 2023-06-23T10:58:16
[DUALBOUND] 61.469412939
[END] 2023-06-23T11:02:35

[INSTANCE] mat_s1_i07.mps.gz
[START] 2023-06-23T11:02:35
[DUALBOUND] 59.854036158
[END] 2023-06-23T11:05:16

[INSTANCE] mat_s1_i08.mps.gz
[START] 2023-06-23T11:05:16
[DUALBOUND] 61.796647529
[END] 2023-06-23T11:10:15

[INSTANCE] mat_s1_i09.mps.gz
[START] 2023-06-23T11:10:15
[DUALBOUND] 61.183872616
[END] 2023-06-23T11:14:24

[INSTANCE] mat_s1_i10.mps.gz
[START] 2023-06-23T11:14:24
[DUALBOUND] 62.157620909
[END] 2023-06-23T11:18:58

[INSTANCE] mat_s1_i11.mps.gz
[START] 2023-06-23T11:18:58
[DUALBOUND] 61.081280436
[END] 2023-06-23T11:23:01

[INSTANCE] mat_s1_i12.mps.gz
[START] 2023-06-23T11:23:01
[DUALBOUND] 61.255810794
[END] 2023-06-23T11:27:12

[INSTANCE] mat_s1_i13.mps.gz
[START] 2023-06-23T11:27:12
[DUALBOUND] 60.102127074
[END] 2023-06-23T11:32:11

[INSTANCE] mat_s1_i14.mps.gz
[START] 2023-06-23T11:32:11
[DUALBOUND] 62.455835126
[END] 2023-06-23T11:36:48

[INSTANCE] mat_s1_i15.mps.gz
[START] 2023-06-23T11:36:48
[DUALBOUND] 61.753297100
[END] 2023-06-23T11:40:31

[INSTANCE] mat_s1_i16.mps.gz
[START] 2023-06-23T11:40:31
[DUALBOUND] 59.906307304
