datasets/testfiles/rhs_series_2.test

60
RHS changed 
SCIP Version: 8.02
[INSTANCE] rhs_s2_i01.mps.gz
[START] 2023-06-23T10:35:39
[DUALBOUND] -17196.688449590
[END] 2023-06-23T10:36:38

[INSTANCE] rhs_s2_i02.mps.gz
[START] 2023-06-23T10:36:39
[DUALBOUND] -17167.436151164
[END] 2023-06-23T10:37:32

[INSTANCE] rhs_s2_i03.mps.gz
[START] 2023-06-23T10:37:32
[DUALBOUND] -17190.267623233
[END] 2023-06-23T10:38:31

[INSTANCE] rhs_s2_i04.mps.gz
[START] 2023-06-23T10:38:31
[DUALBOUND] -17187.419512368
[END] 2023-06-23T10:39:30

[INSTANCE] rhs_s2_i05.mps.gz
[START] 2023-06-23T10:39:30
[DUALBOUND] -17189.214599183
[END] 2023-06-23T10:40:29

[INSTANCE] rhs_s2_i06.mps.gz
[START] 2023-06-23T10:40:29
[DUALBOUND] -17186.505204191
[END] 2023-06-23T10:41:28

[INSTANCE] rhs_s2_i07.mps.gz
[START] 2023-06-23T10:41:29
[DUALBOUND] -17198.482809438
[END] 2023-06-23T10:42:28

[INSTANCE] rhs_s2_i08.mps.gz
[START] 2023-06-23T10:42:28
[DUALBOUND] -17185.058749371
[END] 2023-06-23T10:43:27

[INSTANCE] rhs_s2_i09.mps.gz
[START] 2023-06-23T10:43:27
[DUALBOUND] -17184.328745158
[END] 2023-06-23T10:44:26

[INSTANCE] rhs_s2_i10.mps.gz
[START] 2023-06-23T10:44:26
[DUALBOUND] -17190.827340458
[END] 2023-06-23T10:45:25

[INSTANCE] rhs_s2_i11.mps.gz
[START] 2023-06-23T10:45:25
[DUALBOUND] -17179.543267207
[END] 2023-06-23T10:46:24

[INSTANCE] rhs_s2_i12.mps.gz
[START] 2023-06-23T10:46:24
[DUALBOUND] -17189.578246325
[END] 2023-06-23T10:47:23

[INSTANCE] rhs_s2_i13.mps.gz
[START] 2023-06-23T10:47:23
[DUALBOUND] -17202.071667524
[END] 2023-06-23T10:48:22

[INSTANCE] rhs_s2_i14.mps.gz
[START] 2023-06-23T10:48:22
[DUALBOUND] -17189.238958869
[END] 2023-06-23T10:49:21

[INSTANCE] rhs_s2_i15.mps.gz
[START] 2023-06-23T10:49:21
[DUALBOUND] -17188.208443463
[END] 2023-06-23T10:50:20

[INSTANCE] rhs_s2_i16.mps.gz
[START] 2023-06-23T10:50:20
[DUALBOUND] -17180.016661114
[END] 2023-06-23T10:51:20

[INSTANCE] rhs_s2_i17.mps.gz
[START] 2023-06-23T10:51:20
[DUALBOUND] -17168.108558948
[END] 2023-06-23T10:52:18

[INSTANCE] rhs_s2_i18.mps.gz
[START] 2023-06-23T10:52:18
[DUALBOUND] -17188.468345476
[END] 2023-06-23T10:53:17

[INSTANCE] rhs_s2_i19.mps.gz
[START] 2023-06-23T10:53:17
[DUALBOUND] -17180.876673499
[END] 2023-06-23T10:54:16

[INSTANCE] rhs_s2_i20.mps.gz
[START] 2023-06-23T10:54:16
[DUALBOUND] -17168.249813263
[END] 2023-06-23T10:55:13

[INSTANCE] rhs_s2_i21.mps.gz
[START] 2023-06-23T10:55:13
[DUALBOUND] -17190.830744588
[END] 2023-06-23T10:56:12

[INSTANCE] rhs_s2_i22.mps.gz
[START] 2023-06-23T10:56:12
[DUALBOUND] -17196.254608637
[END] 2023-06-23T10:57:11

[INSTANCE] rhs_s2_i23.mps.gz
[START] 2023-06-23T10:57:11
[DUALBOUND] -17190.160021657
[END] 2023-06-23T10:58:10

[INSTANCE] rhs_s2_i24.mps.gz
[START] 2023-06-23T10:58:10
[DUALBOUND] -17199.612614480
[END] 2023-06-23T10:59:09

[INSTANCE] rhs_s2_i25.mps.gz
[START] 2023-06-23T10:59:09
[DUALBOUND] -17190.320146949
[END] 2023-06-23T11:00:08

[INSTANCE] rhs_s2_i26.mps.gz
[START] 2023-06-23T11:00:09
[DUALBOUND] -17196.924785483
[END] 2023-06-23T11:01:08

[INSTANCE] rhs_s2_i27.mps.gz
[START] 2023-06-23T11:01:08
[DUALBOUND] -17188.252801296
[END] 2023-06-23T11:02:07

[INSTANCE] rhs_s2_i28.mps.gz
